Full Name,Position,Team,totalSalary,overall_rating,normalized_salary,value,Acquired Via
Jason Kelce,C,Eagles,1120000,90,1.371146297,65.639,Draft
Jon Feliciano,C,Giants,500000,72,1.100427822,65.429,Free Agent
Ethan Pocic,C,Browns,500000,70,1.100427822,63.612,Free Agent
Patrick Peterson,CB,Vikings,500000,78,1.100427822,70.882,Free Agent
Troy Hill,CB,Rams,500000,78,1.100427822,70.882,Trade
Anthony Averett,CB,Raiders,500000,76,1.100427822,69.064,Free Agent
Solomon Thomas,DT,Jets,340000,74,1.030564989,71.805,Free Agent
Derrick Nnadi,DT,Chiefs,500000,78,1.100427822,70.882,Draft
Matthew Ioannidis,DT,Panthers,500000,78,1.100427822,70.882,Free Agent
Andy Janovich,FB,Texans,750000,78,1.209588497,64.485,Free Agent
Khari Blasingame,FB,Bears,970000,72,1.305649892,55.145,Free Agent
Ben Mason,FB,Ravens,880000,69,1.266352049,54.487,Free Agent
Jabrill Peppers,FS,Patriots,400000,80,1.056763551,75.703,Free Agent
DeAndre Houston-Carson,FS,Bears,500000,72,1.100427822,65.429,Draft
Jaquiski Tartt,FS,Eagles,900000,79,1.275084903,61.957,Free Agent
Melvin Gordon III,HB,Broncos,490000,83,1.096061395,75.726,Free Agent
Rashaad Penny,HB,Seahawks,400000,78,1.056763551,73.81,Draft
Tevin Coleman,HB,Jets,400000,72,1.056763551,68.133,Free Agent
Eddy Pineiro,K,Jets,480000,71,1.091694968,65.036,Free Agent
Greg Zuerlein,K,Jets,990000,75,1.314382746,57.061,Free Agent
Riley Patterson,K,Lions,830000,69,1.244519914,55.443,Trade
Jadeveon Clowney,LE,Browns,500000,82,1.100427822,74.516,Free Agent
William Gholston,LE,Buccaneers,400000,76,1.056763551,71.918,Draft
Vinny Curry,LE,Jets,400000,74,1.056763551,70.025,Free Agent
Ike Boettger,LG,Bills,500000,67,1.100427822,60.885,Waived
Rodger Saffold III,LG,Bills,1000000,80,1.318749173,60.664,Free Agent
Aaron Stinnie,LG,Buccaneers,640000,67,1.1615578,57.681,Waived
Melvin Ingram,LOLB,Dolphins,600000,84,1.144092092,73.421,Free Agent
Kyler Fackrell,LOLB,Raiders,420000,73,1.065496405,68.513,Free Agent
Jermaine Carter Jr,LOLB,Chiefs,500000,71,1.100427822,64.52,Free Agent
Geron Christian Sr,LT,Chiefs,500000,71,1.100427822,64.52,Free Agent
Elijah Wilkinson,LT,Falcons,500000,68,1.100427822,61.794,Free Agent
Blake Hance,LT,Browns,820000,64,1.240153487,51.607,Free Agent
Anthony Walker Jr,MLB,Browns,500000,77,1.100427822,69.973,Free Agent
Josh Bynes,MLB,Ravens,450000,74,1.078595686,68.608,Free Agent
Jayon Brown,MLB,Raiders,590000,77,1.139725665,67.56,Free Agent
Thomas Morstead,P,Dolphins,500000,80,1.100427822,72.699,Free Agent
Jack Fox,P,Lions,900000,79,1.275084903,61.957,Free Agent
Jordan Berry,P,Vikings,900000,75,1.275084903,58.82,Free Agent
Tom Brady,QB,Buccaneers,1120000,97,1.371146297,70.744,Free Agent
Andy Dalton,QB,Saints,400000,70,1.056763551,66.24,Free Agent
Jacoby Brissett,QB,Browns,500000,70,1.100427822,63.612,Free Agent
Akiem Hicks,RE,Buccaneers,500000,84,1.100427822,76.334,Free Agent
Marcus Davenport,RE,Saints,500000,82,1.100427822,74.516,Draft
Jarran Reed,RE,Packers,400000,73,1.056763551,69.079,Free Agent
Will Hernandez,RG,Cardinals,500000,72,1.100427822,65.429,Free Agent
Calvin Throckmorton,RG,Saints,820000,64,1.240153487,51.607,Undrafted Free Agent
Jared Hocker,RG,Jaguars,710000,61,1.192122789,51.169,Free Agent
Kyzir White,ROLB,Eagles,500000,79,1.100427822,71.79,Free Agent
Lorenzo Carter,ROLB,Falcons,500000,73,1.100427822,66.338,Free Agent
Sam Eguavoen,ROLB,Dolphins,450000,70,1.078595686,64.899,Free Agent
Chris Hubbard,RT,Browns,270000,67,1,67,Free Agent
Germain Ifedi,RT,Falcons,400000,70,1.056763551,66.24,Free Agent
Billy Turner,RT,Broncos,500000,72,1.100427822,65.429,Free Agent
Kareem Jackson,SS,Broncos,300000,81,1.013099281,79.953,Free Agent
Rodney McLeod Jr,SS,Colts,300000,79,1.013099281,77.979,Free Agent
Anthony Harris,SS,Eagles,400000,80,1.056763551,75.703,Free Agent
Austin Hooper,TE,Titans,500000,79,1.100427822,71.79,Free Agent
Eric Tomlinson,TE,Broncos,440000,67,1.074229259,62.37,Free Agent
Noah Fant,TE,Seahawks,1000000,82,1.318749173,62.18,Trade
Jarvis Landry,WR,Saints,500000,83,1.100427822,75.425,Free Agent
Jamison Crowder,WR,Bills,500000,80,1.100427822,72.699,Free Agent
JuJu Smith-Schuster,WR,Chiefs,500000,80,1.100427822,72.699,Free Agent
