,Player,Yds,Cmp%,TD/Int,ANY/A,Sk,GWD,4QC,QBR,rushing_yds,rank_Yds,rank_Cmp%,rank_TD/Int,rank_ANY/A,rank_Sk,rank_GWD,rank_4QC,rank_rushing_yds,rank_QBR,overall_rank,variance_rank,final_Rank,Avg./Year
0,Josh Allen,4306,66.5,1.61,6.51,24,4.0,2.0,69.6,524.0,4.0,10.0,25.0,11.0,6.0,2.0,6.0,4.0,3.0,8.5,53.714285714285715,1,43000000.0
1,Dak Prescott,4516,69.5,4.0,7.28,39,3.0,2.0,72.7,242.0,3.0,2.0,3.0,6.0,30.0,6.0,6.0,13.0,2.0,8.625,86.26785714285714,2,40000000.0
2,Jordan Love,4159,64.2,2.91,6.67,30,3.0,2.0,62.1,247.0,7.0,20.0,7.0,9.0,16.0,6.0,6.0,12.0,8.0,10.375,27.125,3,55000000.0
3,Tua Tagovailoa,4624,69.3,2.07,7.48,29,2.0,2.0,60.8,74.0,1.0,4.0,16.0,3.0,14.0,11.0,6.0,28.0,9.0,10.375,79.69642857142857,3,53100000.0
4,Jared Goff,4575,67.3,2.5,6.99,30,3.0,2.0,60.3,21.0,2.0,6.0,12.0,7.0,16.0,6.0,6.0,34.0,10.0,11.125,103.83928571428571,4,53000000.0
5,Patrick Mahomes,4183,67.2,1.93,6.26,27,2.0,1.0,63.1,389.0,6.0,7.0,19.0,15.0,11.0,11.0,16.0,7.0,7.0,11.5,22.857142857142858,5,45000000.0
6,Russell Wilson,3070,66.4,3.25,6.04,45,4.0,4.0,50.7,341.0,19.0,11.0,5.0,18.0,33.0,2.0,1.0,8.0,21.0,12.125,116.125,6,1210000.0
7,Geno Smith,3624,64.7,2.22,6.39,31,5.0,4.0,59.5,155.0,16.0,17.0,14.0,13.0,20.0,1.0,1.0,21.0,14.0,12.875,60.982142857142854,7,25000000.0
8,C.J. Stroud,4108,63.9,4.6,7.47,38,3.0,1.0,57.5,167.0,8.0,23.0,2.0,4.0,29.0,6.0,16.0,19.0,15.0,13.375,96.55357142857143,8,9069812.0
9,Jalen Hurts,3858,65.4,1.53,5.96,36,4.0,3.0,60.1,605.0,14.0,13.0,26.0,20.0,26.0,2.0,3.0,3.0,11.0,13.375,101.125,8,51000000.0
10,Lamar Jackson,3678,67.2,3.43,7.34,37,0.0,1.0,64.7,821.0,15.0,7.0,4.0,5.0,27.0,32.0,16.0,1.0,4.0,13.375,127.69642857142857,8,52000000.0
11,Jake Browning,1936,70.4,1.71,6.34,24,2.0,2.0,60.1,127.0,29.0,1.0,21.0,14.0,6.0,11.0,6.0,23.0,11.0,13.875,94.41071428571429,9,972500.0
12,Brock Purdy,4280,69.4,2.82,9.01,28,0.0,0.0,72.8,144.0,5.0,3.0,9.0,1.0,12.0,32.0,29.0,22.0,1.0,14.125,144.69642857142858,10,934253.0
13,Justin Herbert,3134,65.1,2.86,6.16,29,1.0,1.0,64.1,228.0,18.0,14.0,8.0,16.0,14.0,22.0,16.0,14.0,5.0,15.25,15.928571428571429,11,52500000.0
14,Baker Mayfield,4044,64.3,2.8,6.47,40,2.0,1.0,54.3,163.0,9.0,19.0,10.0,12.0,31.0,11.0,16.0,20.0,18.0,16.0,53.714285714285715,12,33333333.0
15,Trevor Lawrence,4016,65.6,1.5,5.98,35,2.0,1.0,56.1,339.0,10.0,12.0,27.0,19.0,25.0,11.0,16.0,9.0,17.0,16.125,48.125,13,55000000.0
17,Matthew Stafford,3965,62.6,2.18,6.8,30,2.0,1.0,63.5,65.0,11.0,26.0,15.0,8.0,16.0,11.0,16.0,30.0,6.0,16.625,58.267857142857146,14,40000000.0
18,Derek Carr,3878,68.4,3.12,6.56,31,1.0,0.0,56.5,40.0,13.0,5.0,6.0,10.0,20.0,22.0,29.0,33.0,16.0,17.25,109.07142857142857,15,37500000.0
19,Desmond Ridder,2836,64.2,1.0,5.58,31,4.0,2.0,40.1,193.0,21.0,20.0,32.0,23.0,20.0,2.0,6.0,18.0,28.0,17.75,91.07142857142857,16,1340741.0
20,Gardner Minshew II,3305,62.2,1.67,5.75,34,2.0,2.0,59.6,100.0,17.0,27.0,23.0,21.0,24.0,11.0,6.0,24.0,13.0,19.125,52.982142857142854,17,12500000.0
21,Kenny Pickett,2070,62.0,1.5,5.29,23,3.0,3.0,38.1,54.0,28.0,29.0,27.0,26.0,5.0,6.0,3.0,32.0,29.0,19.5,154.57142857142858,18,3516976.0
22,Joe Burrow,2309,66.8,2.5,5.55,24,0.0,0.0,51.6,88.0,24.0,9.0,12.0,24.0,6.0,32.0,29.0,26.0,20.0,20.25,96.21428571428571,19,55000000.0
23,Sam Howell,3946,63.4,1.0,4.39,65,2.0,2.0,42.4,263.0,12.0,24.0,32.0,31.0,36.0,11.0,6.0,10.0,26.0,20.25,139.64285714285714,19,1005400.0
