RK,NAME,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW
1,Brock Purdy,72.8,37.2,530,76.9,66.8,9.1,-10.2,1,73
2,Dak Prescott,72.7,57,724,106.7,91.6,10.6,-16.3,4.5,75.3
3,Josh Allen,69.6,41.2,744,102.7,71.6,31.2,-9.5,-0.1,68.6
4,Lamar Jackson,64.7,29.3,676,84,60.4,19.8,-14.1,3.8,64.9
5,Justin Herbert,64.1,22.2,564,69.8,58.7,10.5,-13.1,0.6,63.6
6,Matthew Stafford,63.5,22.7,607,71.6,65.6,1.7,-12.7,4.3,62.9
7,Kirk Cousins,63.2,15.9,364,46.4,43.3,0,-7.6,3.1,65
8,Patrick Mahomes,63.1,31.9,724,92.1,66.6,21.6,-10.2,3.9,65.1
9,Jordan Love,62.1,26.4,699,82.2,76.5,1.4,-12.6,4.4,63.1
10,Tua Tagovailoa,60.8,18.8,659,70.6,75.2,-7,-10.4,2.4,60
11,Jared Goff,60.3,21.4,690,72.3,73.4,-2,-10.8,0.9,60.8
12,Jalen Hurts,60.1,22.2,773,86.9,67.1,16.4,-12.9,3.3,60
13,Gardner Minshew,59.6,13.3,587,60.9,54.1,3.2,-13.8,3.6,58
14,Geno Smith,59.5,16.8,602,67.9,61.7,5.7,-12.6,0.6,59.8
15,C.J. Stroud,57.5,13.3,613,63.1,57.9,4.4,-17.4,0.8,57.6
16,Derek Carr,56.5,15.2,634,65.8,70.1,-5.1,-14.2,0.8,58.4
17,Trevor Lawrence,56.1,8.4,727,67.3,58.6,1.2,-13.7,7.5,54.1
18,Baker Mayfield,54.3,11.5,698,68.2,59.4,5.2,-14.6,3.6,55.8
19,Joshua Dobbs,51.8,2.7,556,46.7,21.4,22,-13.3,3.3,51.7
20,Joe Burrow,51.6,1.3,431,38,32.1,3.5,-11.2,2.4,51.1
21,Russell Wilson,50.7,0,596,48.5,30.3,12.6,-18.9,5.7,50
22,Kyler Murray,47.2,-1,354,27,21.3,5.3,-6.6,0.4,49
23,Justin Fields,46.1,-2.3,567,43.6,24,19.6,-18.8,0,48.6
24,Sam Howell,42.4,-14.3,765,49.7,31.8,14.6,-25.5,3.3,43.4
25,Aidan O'Connell,40.5,-10.8,390,21.3,20.3,-0.1,-9.9,1.2,40.4
26,Desmond Ridder,40.1,-10.1,496,33.2,27.6,3.4,-12.4,2.2,42.8
27,Kenny Pickett,38.1,-16.6,389,17.6,12,3.1,-11.3,2.6,35.4
28,Mac Jones,36.7,-14.6,413,21.6,20.6,1.4,-8.8,-0.5,37.7
29,Bryce Young,33.4,-28.8,670,28,6.9,18.3,-26.9,2.8,35.2
30,Zach Wilson,30.6,-25.9,474,15.8,13.3,0.2,-20.4,2.3,31.6
